alert_kind,alert_type,ts_alert,ip,session_duration,total_attempts,layer1_class,layer1_label,layer2_score,layer2_anomaly,had_early_alert,alert_subtype,ts_first,attempts_so_far,failures_so_far,reason,event_index
EARLY_ALERT,,1702181032,103.99.0.122,,,,,,,,SCAN,1702181017.0,7.0,7.0,unique_users=4 >= 4,7.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702178469,52.80.34.196,8.0,2.0,1.0,Single failure,0.1315,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702168463,123.235.32.19,116.0,7.0,3.0,Brute-force,0.088,0.0,1.0,,,,,,
EARLY_ALERT,,1702181740,123.235.32.19,,,,,,,,BRUTE_FORCE,1702181727.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702182414,51.15.203.45,,,,,,,,BRUTE_FORCE,1702182396.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702183708,121.14.7.244,,,,,,,,BRUTE_FORCE,1702183697.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702178053,119.4.203.64,14.0,7.0,3.0,Brute-force,0.0474,0.0,1.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702170523,175.102.13.6,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702181387,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
EARLY_ALERT,,1702184865,51.15.196.223,,,,,,,,BRUTE_FORCE,1702184846.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702169775,103.207.39.165,1.0,2.0,1.0,Single failure,0.0948,0.0,0.0,,,,,,
EARLY_ALERT,,1702185850,5.188.10.182,,,,,,,,BRUTE_FORCE,1702185826.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702185855,5.188.10.182,,,,,,,,SCAN,1702185826.0,7.0,7.0,unique_users=4 >= 4,7.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702180859,88.147.143.242,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702184295,52.80.34.196,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702174379,185.190.58.151,336.0,24.0,3.0,Brute-force,0.067,0.0,1.0,,,,,,
EARLY_ALERT,,1702187537,185.190.58.151,,,,,,,,BRUTE_FORCE,1702187438.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702188476,81.144.235.98,,,,,,,,BRUTE_FORCE,1702188455.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702189237,119.7.221.137,,,,,,,,BRUTE_FORCE,1702189224.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702188658,221.164.9.48,3.0,2.0,1.0,Single failure,0.1205,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702179150,183.136.162.51,3.0,2.0,1.0,Single failure,0.1205,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702189298,221.164.9.48,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702175494,104.192.3.34,12.0,3.0,2.0,Scan,0.1277,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702187216,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702189921,221.164.9.48,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,NORMAL,1702183246,113.118.187.34,0.0,1.0,0.0,Normal,0.332,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702190552,221.164.9.48,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702191183,221.164.9.48,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702191804,221.164.9.48,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702192427,221.164.9.48,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702190154,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702193051,221.164.9.48,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702180510,202.100.179.208,3.0,2.0,1.0,Single failure,0.1205,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702189323,119.7.221.137,99.0,38.0,3.0,Brute-force,0.08,0.0,1.0,,,,,,
EARLY_ALERT,,1702195654,119.7.221.137,,,,,,,,BRUTE_FORCE,1702195642.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702195927,119.7.221.137,,,,,,,,SCAN,1702195642.0,111.0,111.0,unique_users=4 >= 4,111.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702193086,52.80.34.196,0.0,1.0,1.0,Single failure,0.332,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702194238,175.207.12.37,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702183980,175.102.13.6,1.0,2.0,1.0,Single failure,0.0948,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702196037,52.80.34.196,0.0,1.0,1.0,Single failure,0.332,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702189363,183.136.162.51,1.0,2.0,1.0,Single failure,0.0948,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702196370,175.207.12.37,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702200935,175.207.12.37,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702198993,52.80.34.196,0.0,1.0,1.0,Single failure,0.332,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702201661,175.207.12.37,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702202385,175.207.12.37,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702203120,175.207.12.37,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702189961,104.192.3.34,3.0,2.0,1.0,Single failure,0.1205,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702203865,175.207.12.37,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702201936,52.80.34.196,8.0,2.0,1.0,Single failure,0.1315,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702174715,103.207.39.16,8.0,5.0,2.0,Scan,0.115,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702195184,61.143.3.203,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702193935,202.100.179.208,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702204873,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702172011,103.207.39.212,7.0,5.0,2.0,Scan,0.1143,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702199586,183.136.162.51,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702185012,103.207.39.165,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702195950,119.7.221.137,308.0,128.0,3.0,Brute-force,0.059,0.0,1.0,,,,,,
EARLY_ALERT,,1702210484,119.7.221.137,,,,,,,,BRUTE_FORCE,1702210469.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702210663,2.176.38.105,,,,,,,,BRUTE_FORCE,1702210652.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702207828,52.80.34.196,8.0,2.0,1.0,Single failure,0.1315,0.0,0.0,,,,,,
EARLY_ALERT,,1702210746,119.7.221.137,,,,,,,,SCAN,1702210469.0,111.0,111.0,unique_users=4 >= 4,111.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702197440,175.102.13.6,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702177522,60.2.12.12,28.0,5.0,1.0,Single failure,0.0894,0.0,0.0,,,,,,
EARLY_ALERT,,1702211886,60.2.12.12,,,,,,,,BRUTE_FORCE,1702211873.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702181988,123.235.32.19,261.0,25.0,3.0,Brute-force,0.1001,0.0,1.0,,,,,,
EARLY_ALERT,,1702212102,123.235.32.19,,,,,,,,BRUTE_FORCE,1702212082.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702210752,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702169480,195.154.37.122,8.0,3.0,2.0,Scan,0.0345,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,NORMAL,1702210942,137.189.241.19,0.0,1.0,0.0,Normal,0.332,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702213682,52.80.34.196,6.0,2.0,1.0,Single failure,0.1619,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702186007,5.188.10.182,181.0,46.0,3.0,Brute-force,0.0954,0.0,1.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702204360,104.192.3.34,30.0,5.0,1.0,Single failure,0.1259,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702207080,61.143.3.203,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702216638,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702209843,183.136.162.51,1.0,2.0,1.0,Single failure,0.0948,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702207354,202.100.179.208,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
EARLY_ALERT,,1702220893,94.222.18.230,,,,,,,,BRUTE_FORCE,1702220876.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702221308,58.53.219.75,,,,,,,,BRUTE_FORCE,1702221299.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702219590,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702212179,123.235.32.19,97.0,29.0,3.0,Brute-force,0.0917,0.0,1.0,,,,,,
EARLY_ALERT,,1702224264,123.235.32.19,,,,,,,,BRUTE_FORCE,1702224249.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702210882,175.102.13.6,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
EARLY_ALERT,,1702224503,114.35.77.143,,,,,,,,BRUTE_FORCE,1702224487.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702224823,121.193.184.2,,,,,,,,BRUTE_FORCE,1702224812.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702222526,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
EARLY_ALERT,,1702226572,87.120.255.141,,,,,,,,BRUTE_FORCE,1702226560.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702228296,58.42.244.194,,,,,,,,BRUTE_FORCE,1702228290.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702225466,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702171584,5.188.10.180,112.0,26.0,3.0,Brute-force,0.0957,0.0,1.0,,,,,,
EARLY_ALERT,,1702229654,119.253.248.211,,,,,,,,BRUTE_FORCE,1702229644.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702229674,119.253.248.211,,,,,,,,SCAN,1702229644.0,13.0,13.0,unique_users=4 >= 4,13.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702220109,183.136.162.51,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702218993,61.143.3.203,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702228394,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702218734,104.192.3.34,3.0,2.0,1.0,Single failure,0.1205,0.0,0.0,,,,,,
EARLY_ALERT,,1702233713,60.172.229.172,,,,,,,,BRUTE_FORCE,1702233702.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702224276,123.235.32.19,27.0,10.0,3.0,Brute-force,0.0733,0.0,1.0,,,,,,
EARLY_ALERT,,1702234225,123.235.32.19,,,,,,,,BRUTE_FORCE,1702234212.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702220795,202.100.179.208,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702231338,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702211957,60.2.12.12,84.0,23.0,3.0,Brute-force,0.0946,0.0,1.0,,,,,,
EARLY_ALERT,,1702235592,60.2.12.12,,,,,,,,BRUTE_FORCE,1702235571.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702234249,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702224396,175.102.13.6,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,NORMAL,1702215276,222.125.40.98,0.0,1.0,0.0,Normal,0.332,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702229383,5.188.10.180,0.0,1.0,1.0,Single failure,0.332,0.0,0.0,,,,,,
EARLY_ALERT,,1702238639,5.188.10.180,,,,,,,,BRUTE_FORCE,1702238616.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702238649,5.188.10.180,,,,,,,,SCAN,1702238616.0,7.0,7.0,unique_users=4 >= 4,7.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702187550,185.190.58.151,112.0,7.0,3.0,Brute-force,0.1284,0.0,1.0,,,,,,
EARLY_ALERT,,1702239000,185.190.58.151,,,,,,,,BRUTE_FORCE,1702238938.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702239898,138.68.246.205,,,,,,,,BRUTE_FORCE,1702239886.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702237160,52.80.34.196,8.0,2.0,1.0,Single failure,0.1315,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702230375,183.136.162.51,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702194970,195.154.63.158,6.0,3.0,2.0,Scan,0.0426,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702217445,5.188.10.182,23.0,3.0,2.0,Scan,0.1345,0.0,0.0,,,,,,
EARLY_ALERT,,1702242159,5.188.10.182,,,,,,,,BRUTE_FORCE,1702242133.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702242164,5.188.10.182,,,,,,,,SCAN,1702242133.0,7.0,7.0,unique_users=4 >= 4,7.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702241080,115.71.16.143,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702230905,61.143.3.203,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702240054,52.80.34.196,6.0,2.0,1.0,Single failure,0.1619,0.0,0.0,,,,,,
EARLY_ALERT,,1702243622,119.7.221.129,,,,,,,,BRUTE_FORCE,1702243605.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702243676,119.7.221.129,,,,,,,,SCAN,1702243605.0,29.0,29.0,unique_users=4 >= 4,29.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702242599,115.71.16.143,1.0,2.0,1.0,Single failure,0.0948,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702244118,115.71.16.143,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702242966,52.80.34.196,6.0,2.0,1.0,Single failure,0.1619,0.0,0.0,,,,,,
EARLY_ALERT,,1702246358,103.217.152.20,,,,,,,,BRUTE_FORCE,1702246346.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702246361,103.217.152.20,,,,,,,,SCAN,1702246346.0,7.0,7.0,unique_users=4 >= 4,7.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702245639,115.71.16.143,3.0,2.0,1.0,Single failure,0.1205,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702233143,104.192.3.34,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702234232,202.100.179.208,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702247154,115.71.16.143,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702245873,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702201403,5.188.10.156,0.0,1.0,1.0,Single failure,0.332,0.0,0.0,,,,,,
EARLY_ALERT,,1702249156,5.188.10.156,,,,,,,,BRUTE_FORCE,1702249081.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702249169,82.209.247.10,,,,,,,,BRUTE_FORCE,1702249144.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702249172,82.209.247.10,,,,,,,,SCAN,1702249144.0,7.0,7.0,unique_users=4 >= 4,7.0
EARLY_ALERT,,1702249174,5.188.10.156,,,,,,,,SCAN,1702249081.0,7.0,7.0,unique_users=4 >= 4,7.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702248669,115.71.16.143,1.0,2.0,1.0,Single failure,0.0948,0.0,0.0,,,,,,
EARLY_ALERT,,1702250851,101.71.29.235,,,,,,,,BRUTE_FORCE,1702250842.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702207956,103.207.39.212,13.0,5.0,2.0,Scan,0.1251,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702237777,175.102.13.6,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702248766,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702250188,115.71.16.143,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702206319,103.207.39.16,9.0,5.0,2.0,Scan,0.1191,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702234258,123.235.32.19,46.0,17.0,3.0,Brute-force,0.0802,0.0,1.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702251706,115.71.16.143,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
EARLY_ALERT,,1702253347,123.235.32.19,,,,,,,,BRUTE_FORCE,1702253118.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702254099,221.122.123.14,,,,,,,,BRUTE_FORCE,1702254088.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702251665,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702242791,61.143.3.203,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702253224,115.71.16.143,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702254743,115.71.16.143,3.0,2.0,1.0,Single failure,0.1205,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702176503,181.214.87.4,0.0,1.0,1.0,Single failure,0.332,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702254551,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702256260,115.71.16.143,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702181135,103.99.0.122,118.0,53.0,3.0,Brute-force,0.0802,0.0,1.0,,,,,,
EARLY_ALERT,,1702258247,103.99.0.122,,,,,,,,BRUTE_FORCE,1702258241.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702258250,103.99.0.122,,,,,,,,SCAN,1702258241.0,7.0,7.0,unique_users=4 >= 4,7.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702257781,115.71.16.143,3.0,2.0,1.0,Single failure,0.1205,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702257457,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
